Daniel Kwak push up,,,,
time,wx,wy,wz,
9.18769717216492,0.33,-0.87,-0.62,
9.20423817634583,0.31,-0.85,-0.6,
9.20740127563477,0.35,-0.72,-0.54,
9.21755814552307,0.48,-0.43,-0.44,
9.22739720344544,0.56,-0.04,-0.36,
9.2373743057251,0.58,0.28,-0.3,
9.24727010726929,0.62,0.33,-0.15,
9.2572193145752,0.62,0.17,-0.01,
9.2671902179718,0.6,-0.02,0.04,
9.27708005905151,0.61,-0.05,0.05,
9.28722429275513,0.63,0.14,0,
9.30581617355347,0.65,0.43,-0.14,
9.30827116966248,0.68,0.59,-0.29,
9.31659030914307,0.68,0.5,-0.4,
9.32652235031128,0.63,0.2,-0.47,
9.33663034439087,0.54,-0.21,-0.51,
9.34681820869446,0.43,-0.53,-0.52,
9.35638213157654,0.35,-0.63,-0.54,
9.36669921875,0.28,-0.52,-0.56,
9.37636709213257,0.22,-0.37,-0.55,
9.38643503189087,0.16,-0.28,-0.48,
9.40520429611206,0.06,-0.32,-0.39,
9.40761423110962,0,-0.39,-0.3,
9.41621208190918,-0.07,-0.36,-0.22,
9.42582225799561,-0.13,-0.2,-0.18,
9.43613815307617,-0.16,0.06,-0.16,
9.44569730758667,-0.18,0.27,-0.16,
9.45565319061279,-0.19,0.35,-0.15,
9.46584916114807,-0.24,0.25,-0.16,
9.47588109970093,-0.3,0.01,-0.19,
9.48576831817627,-0.34,-0.21,-0.24,
9.50418901443481,-0.34,-0.23,-0.27,
9.50628423690796,-0.31,-0.07,-0.3,
9.51545906066895,-0.28,0.1,-0.36,
9.52552223205566,-0.32,0.08,-0.45,
9.53515815734863,-0.37,-0.14,-0.56,
9.54503321647644,-0.43,-0.39,-0.61,
9.55497217178345,-0.47,-0.5,-0.62,
9.5651421546936,-0.49,-0.38,-0.6,
9.57485222816467,-0.46,-0.12,-0.6,
9.58505010604858,-0.44,0.13,-0.59,
9.60446929931641,-0.57,-0.01,-0.57,
9.60675811767578,-0.57,-0.01,-0.57,
9.61487412452698,-0.69,-0.29,-0.6,
9.62448215484619,-0.79,-0.42,-0.67,
9.63447999954224,-0.84,-0.27,-0.69,
9.64435434341431,-0.88,0.07,-0.68,
9.65423917770386,-0.85,0.4,-0.66,
9.66447520256043,-0.87,0.55,-0.63,
9.67405700683594,-0.93,0.35,-0.63,
9.68429613113403,-1,-0.14,-0.68,
9.69521713256836,-1.09,-0.64,-0.75,
9.71350812911987,-1.14,-0.76,-0.86,
9.7162070274353,-1.14,-0.76,-0.86,
9.72362017631531,-1.12,-0.44,-0.9,
9.73519611358643,-1.16,0.01,-0.89,
9.7435781955719,-1.22,0.39,-0.85,
9.7535400390625,-1.23,0.5,-0.87,
9.76352715492249,-1.16,0.39,-0.91,
9.77354431152344,-1.07,0.12,-0.97,
9.78353500366211,-1,-0.2,-1,
9.79464817047119,-0.93,-0.5,-0.98,
9.81176424026489,-0.83,-0.72,-0.89,
9.81399917602539,-0.68,-0.86,-0.73,
9.82309222221375,-0.53,-0.95,-0.55,
9.83303618431091,-0.44,-0.89,-0.35,
9.84312915802002,-0.4,-0.67,-0.13,
9.85283923149109,-0.3,-0.35,0.07,
9.8627610206604,-0.09,0,0.25,
9.87264013290405,0.18,0.32,0.37,
9.88271021842957,0.45,0.5,0.43,
9.894287109375,0.69,0.5,0.47,
9.9106912612915,0.89,0.34,0.54,
9.91306209564209,1.01,0.07,0.62,
9.92246103286743,1.09,-0.23,0.64,
9.9325532913208,1.17,-0.36,0.65,
9.94216203689575,1.1,-0.3,0.72,
9.9521791934967,1.12,-0.13,0.79,
9.9619312286377,1.34,0.09,0.85,
9.97305011749268,1.6,0.25,0.93,
9.98192620277405,1.67,0.24,1.02,
9.99180722236633,1.39,0.11,1.09,
10.0085673332214,0.98,-0.02,1.17,
10.0117471218109,0.93,-0.04,1.2,
10.021701335907,1.17,0.16,1.13,
10.0316262245178,1.51,0.45,1.03,
10.0414133071899,1.6,0.59,1.05,
10.051417350769,1.28,0.46,1.17,
10.0615410804749,1.08,0.09,1.25,
10.071093082428,0.98,-0.22,1.17,
10.0811722278595,0.97,-0.22,0.94,
10.0918130874634,0.96,-0.04,0.72,
10.1078000068665,0.95,0.27,0.66,
10.1107342243195,0.89,0.56,0.78,
10.1209602355957,0.84,0.61,0.9,
10.1308031082153,0.78,0.4,0.86,
10.1406660079956,0.71,0.15,0.67,
10.150838136673,0.67,0.03,0.43,
10.1605463027954,0.66,0.1,0.26,
10.1704902648926,0.61,0.3,0.24,
10.1806702613831,0.49,0.45,0.28,
10.1904802322388,0.37,0.36,0.3,
